（集合の）積,intersection
（集合の）和,union
角かっこ,brakets
…ならば〜である,imply 
…倍,times
絶対誤差,absolute error
絶対値,"absolute value,   magnitude"
抽象データ型,abstract data type
参照,access
参照可能な,accessible
達成する,achieve
達成,achievement
行動する,act
行動,action
足す,add
足し算,addition
山かっこ,angle brackets
近似する,approximate
近似,approximation
引数,argument
四則演算,arithmetic operations
配列,array
主張する,assert
主張,assertion
代入する,assign
代入,assignment
結合法則,associative law
属性,attribute
〜を…のせいにする,attribute
権限,authorization
権限のある,authorized
自己相関,autocorrelation
公理,axiom
公理化,axiomatization
公理化する,axiomatize
基底,basis
2進数,binary number
2項演算子,binary operator
2進小数表現,binary representation
両辺,both sides
波かっこ,braces
計算する,"calculate,   compute"
計算,"calculation,   computation"
桁落ち,cancelation
撮影する,capture
基数,cardinal number
デカルト積，直積,Cartesian product
特性根,characteristic equation
特性関数,characteristic function
クラス,class
分離,classification
分離する,classify
クライアント,client
"プログラム（として書かれた
文字や記号）",code
余因子,cofactor
余因子行列,cofactor matrix
列,column
交換法則,commutative law
補数形式,complement form
完全な,complete
完全性,completeness
複素数,complex number
成分（ベクトルの）,component
成分ごとに,componentwise
帰結，結論,conclusion
条件,condition
結合子,connective
内容,content
連続的な,continuous
矛盾,contradiction
対偶,contraposition
対偶の,contrapositive
逆,converse
相関のある,correlated
相関,correlation
対応,correspondence
対応する,corrsepond
共分散,covariance
3乗（する）,cube
立方根,cube root
累積分布,cumulative distribution
次元の呪い,curse of dimensionality
データ,data
データ隠蔽,data hiding
宣言する,decare
10進数,decimal number
小数点以下の桁,decimal place
小数点,decimal point
10進小数表現,decimal representation
決定,decision
宣言,declaration
分解,decomposition
自由度,degree of freedom
消去する,delete
消去,deletion
分母,denominator
密度関数,density function
導出,derivation
導関数,derivative
導出する,derive
デカルト,Descartes
記述する,describe
記述,description
記述子,descriptor
決定する,detect
行列式,determinant
対角要素,diagonal element
対角行列,diagonal matrix
差,difference
微分する,differentiate
微分すること,differentiation
桁,digit
次元,dimension
離散的な,discrete
交わりのない,disjoint
表示，表示する,display
分布,distribution
分配法則,distributive law
割る,divide
被除数,dividend
除算,division
除数,divisor
領域,domain
効果,effect
効果的な,effective
固有値,eigenvalue
固有ベクトル,eigenvector
元，　要素,"element,   member"
消去する,eliminate
消去,elimination
空集合,empty set
カプセル化する,encapsulate
カプセル化,encapsulation
環境,environment
等しい,"equal,   be equal to"
等号，等式,equality
等号,equality sign
同値,equivalence
同値関係,equivalence relation
同値な,equivalent
誤差,error
推定する,estimate
推定,estimation
推定値，推定量,estimator
ユークリッド,Euclid
ユークリッドの,Euclidean
事象,event
排他,exclusion
排他的な,exclusive
存在する,exist
存在,existence
存在記号,existential quantifier
展開する,expand
展開,expansion
期待値,"expection,   expected value"
利用する,exploit
利用,exploitation
指数，指数部,exponent
指数関数,exponential function
表現する,express
式，表現,expression
拡張する,extend
拡張,extension
抽出する,extract
抽出,extraction
特徴,feature
体（加減乗除ができる集合）,field
有限の,finite
固定小数点,fixed point
浮動小数点,floating point
浮動小数点型,floating type
正式な,formal
形式化する,formalization
形式化する,formalize
論理式,formula
"小数，分数",fraction
関数,function
大域的（な）,global
文法,grammer
成り立つ,hold
単位元,identity
単位行列,"identity matrix,   unit matrix"
（写像の）像，画像,image
画像処理,image processing
虚数,imaginary number
実装する,implement
実装,implementation
含意,implication
参照不可能な,inaccessible
包含関係,inclusion relation
増分,increment
独立,independence
独立な,independent
不等号，不等式,inequality
不等号,inequality sign
